"","gene_id","gene_name","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000173692.14","ENSG00000173692.14","PSMD1","protein_coding",0.103726153829799,7.09982346842822,2.30982824944632,0.0210630661600963,0.0336563592254955,-4.8078239076506
"ENSG00000119661.15","ENSG00000119661.15","DNAL1","protein_coding",-0.158008876762572,4.42833187398681,-2.25329737774456,0.0244164639661635,0.0384710826079396,-4.8080000996389
"ENSG00000255561.7","ENSG00000255561.7","FDXACB1","protein_coding",0.14654867846888,1.44522986569262,2.01018449528586,0.044630275989661,0.0666079855365318,-4.81030592546706
"ENSG00000128590.5","ENSG00000128590.5","DNAJB9","protein_coding",-0.13769294655119,5.31009832725405,-2.29018976985708,0.0221794328599954,0.0351997226586505,-4.81092987686264
"ENSG00000172889.16","ENSG00000172889.16","EGFL7","protein_coding",-0.27007638771006,4.52263248176797,-2.25977054341726,0.0240103399515297,0.0378626297259299,-4.81129291027055
"ENSG00000145020.16","ENSG00000145020.16","AMT","protein_coding",-0.188524326120573,-2.43000573336862,-1.86516445446922,0.0623969970116188,0.0901779369205658,-4.81169820659141
"ENSG00000161647.19","ENSG00000161647.19","MPP3","protein_coding",0.195397089406077,2.92423820365562,2.11107283368438,0.0349679671064207,0.0533915799286537,-4.81270903910172
"ENSG00000135829.17","ENSG00000135829.17","DHX9","protein_coding",0.0920213288216987,7.95127767928686,2.30140692904569,0.02153563534777,0.0343192377116161,-4.81310995764122
"ENSG00000177238.14","ENSG00000177238.14","TRIM72","protein_coding",0.436849990449302,-1.56364650312121,1.87518984193583,0.061004052971474,0.0884323121222446,-4.81350667325786
"ENSG00000128266.9","ENSG00000128266.9","GNAZ","protein_coding",-0.226266375914951,2.9417899091577,-2.14111494304376,0.0324613994816538,0.0498990273810982,-4.81470997953601
"ENSG00000159761.15","ENSG00000159761.15","C16orf86","protein_coding",-0.196078544444601,0.390865605620737,-1.96590813278665,0.0495345181228488,0.0732169232122268,-4.81472759175564
"ENSG00000269964.3","ENSG00000269964.3","MEI4","protein_coding",-0.393699732525409,-3.22133828574876,-1.84403249431894,0.0654194708256423,0.0941614654259329,-4.81502435368532
"ENSG00000143553.11","ENSG00000143553.11","SNAPIN","protein_coding",0.113525363440441,5.29590401480785,2.28024745327658,0.0227640072796219,0.0360671266864197,-4.8160398650133
"ENSG00000269028.3","ENSG00000269028.3","MTRNR2L12","protein_coding",-0.254464216462259,-0.0627020876513888,-1.94578175582666,0.0519091403430445,0.0763961878432585,-4.81782084659862
"ENSG00000126882.13","ENSG00000126882.13","FAM78A","protein_coding",0.194184283157977,3.09301107140238,2.12424450576184,0.0338493159612794,0.0518179191356326,-4.82088416509491
"ENSG00000213658.12","ENSG00000213658.12","LAT","protein_coding",0.239084841090771,-2.28356100983213,1.85267226743415,0.064169438703803,0.0924947801677727,-4.82271875854785
"ENSG00000198648.11","ENSG00000198648.11","STK39","protein_coding",0.219101578122762,5.49220860598305,2.28127740961014,0.022702833297425,0.0359835587629753,-4.82301413047194
"ENSG00000101347.10","ENSG00000101347.10","SAMHD1","protein_coding",-0.180689609434616,6.60587993666565,-2.30332259319299,0.0214273317734719,0.0341616890786211,-4.82319593520898
"ENSG00000177728.17","ENSG00000177728.17","TMEM94","protein_coding",0.154001656108226,6.44202437948644,2.30139155208383,0.0215365066233242,0.0343192377116161,-4.82321993865336
"ENSG00000172139.15","ENSG00000172139.15","SLC9C1","protein_coding",-0.316967731670923,-1.55961878643655,-1.8895822079374,0.0590495265273822,0.085854109796922,-4.82372253661823
"ENSG00000213380.16","ENSG00000213380.16","COG8","protein_coding",-0.10220236405173,2.80438288968825,-2.11728628956374,0.0344363896733768,0.0526269894990521,-4.8238137966565
"ENSG00000063015.20","ENSG00000063015.20","SEZ6","protein_coding",-0.406830328632556,-3.14421633628747,-1.84147517966737,0.0657933046202691,0.0946436964103703,-4.82522135288387
"ENSG00000119457.8","ENSG00000119457.8","SLC46A2","protein_coding",-0.257731597882532,-2.42454240453042,-1.85965774025615,0.0631732507477343,0.0911820166117974,-4.82526716934535
"ENSG00000166313.19","ENSG00000166313.19","APBB1","protein_coding",-0.204569896662942,4.53350393913501,-2.25129039648937,0.0245435857804,0.0386571097869505,-4.82823600948351
"ENSG00000197694.18","ENSG00000197694.18","SPTAN1","protein_coding",-0.108291468709426,8.54128660858643,-2.2849856308947,0.0224837674330614,0.0356562021844082,-4.82824205116528
"ENSG00000115970.18","ENSG00000115970.18","THADA","protein_coding",-0.0918034558507514,5.75791070533166,-2.29261736570247,0.0220386998192123,0.0350154275065646,-4.82847916110123
"ENSG00000248592.7","ENSG00000248592.7","STIMATE-MUSTN1","protein_coding",-0.220538528414002,-2.66000248167281,-1.84850600007323,0.0647697415712731,0.0932891891463086,-4.8301628642151
